user_id,session_id,start_timestamp,end_timestamp
user_001,session_001,2024-01-15T10:30:00Z,2024-01-15T10:35:12Z
user_002,session_002,2024-01-15T10:32:15Z,2024-01-15T10:40:03Z
user_003,session_003,2024-01-15T10:35:22Z,2024-01-15T10:47:28Z
user_004,session_004,2024-01-15T10:38:45Z,2024-01-15T10:54:09Z
user_005,session_005,2024-01-15T10:42:10Z,2024-01-15T11:00:52Z
user_006,session_006,2024-01-15T10:45:30Z,2024-01-15T11:06:48Z
user_007,session_007,2024-01-15T10:48:20Z,2024-01-15T11:13:14Z
user_008,session_008,2024-01-15T10:51:45Z,2024-01-15T11:19:57Z
user_009,session_009,2024-01-15T10:55:12Z,2024-01-15T11:26:42Z
user_010,session_010,2024-01-15T10:58:30Z,2024-01-15T11:33:18Z
user_011,session_011,2024-01-15T11:02:15Z,2024-01-15T11:40:21Z
user_012,session_012,2024-01-15T11:05:45Z,2024-01-15T11:47:09Z
user_013,session_013,2024-01-15T11:09:20Z,2024-01-15T11:54:02Z
user_014,session_014,2024-01-15T11:12:55Z,2024-01-15T12:00:55Z
user_015,session_015,2024-01-15T11:16:30Z,2024-01-15T12:07:48Z
user_016,session_016,2024-01-15T11:20:10Z,2024-01-15T12:14:46Z
user_017,session_017,2024-01-15T11:23:45Z,2024-01-15T12:21:42Z
user_018,session_018,2024-01-15T11:27:20Z,2024-01-15T12:28:32Z
user_019,session_019,2024-01-15T11:30:55Z,2024-01-15T12:35:25Z
user_020,session_020,2024-01-15T12:34:30Z,2024-01-15T12:42:18Z
