user_id,session_id,start_timestamp,end_timestamp
USER_8438,SESS_000001,1724515200,1724515201.0
USER_2409,SESS_000002,1724515260,1724515261.2
USER_2811,SESS_000003,1724515320,1724515321.4
USER_7362,SESS_000004,1724515380,1724515381.6
USER_4595,SESS_000005,1724515440,1724515441.8
USER_1584,SESS_000006,1724515500,1724515502.0
USER_1920,SESS_000007,1724515560,1724515562.2
USER_4586,SESS_000008,1724515620,1724515622.4
USER_1612,SESS_000009,1724515680,1724515682.6
USER_2054,SESS_000010,1724515740,1724515742.8
USER_2560,SESS_000011,1724515800,1724515803.0
USER_5068,SESS_000012,1724515860,1724515863.2
USER_8437,SESS_000013,1724515920,1724515923.4
USER_9826,SESS_000014,1724515980,1724515983.6
USER_2451,SESS_000015,1724516040,1724516043.8
USER_7970,SESS_000016,1724516100,1724516104.0
USER_2857,SESS_000017,1724516160,1724516164.2
USER_7528,SESS_000018,1724516220,1724516224.4
USER_8426,SESS_000019,1724516280,1724516284.6
USER_4238,SESS_000020,1724516340,1724516344.8
USER_0809,SESS_000021,1724516400,1724516405.0
USER_5800,SESS_000022,1724516460,1724516465.2
USER_4233,SESS_000023,1724516520,1724516525.4
USER_2132,SESS_000024,1724516580,1724516585.6
USER_6077,SESS_000025,1724516640,1724516645.8
USER_1474,SESS_000026,1724516700,1724516706.0
USER_5900,SESS_000027,1724516760,1724516766.2
USER_5473,SESS_000028,1724516820,1724516826.4
USER_0431,SESS_000029,1724516880,1724516886.6
USER_6708,SESS_000030,1724516940,1724516946.8
USER_9651,SESS_000031,1724517000,1724517007.0
USER_6191,SESS_000032,1724517060,1724517067.2
USER_6416,SESS_000033,1724517120,1724517127.4
USER_6338,SESS_000034,1724517180,1724517187.6
USER_5733,SESS_000035,1724517240,1724517247.8
USER_6267,SESS_000036,1724517300,1724517308.0
USER_3850,SESS_000037,1724517360,1724517368.2
USER_0048,SESS_000038,1724517420,1724517428.4
USER_8479,SESS_000039,1724517480,1724517488.6
USER_9292,SESS_000040,1724517540,1724517548.8
USER_0692,SESS_000041,1724517600,1724517609.0
USER_8455,SESS_000042,1724517660,1724517669.2
USER_9403,SESS_000043,1724517720,1724517729.4
USER_7288,SESS_000044,1724517780,1724517789.6
USER_4233,SESS_000045,1724517840,1724517849.8
USER_2893,SESS_000046,1724517900,1724517910.0
USER_8576,SESS_000047,1724517960,1724517970.2
USER_9234,SESS_000048,1724518020,1724518030.4
USER_4648,SESS_000049,1724518080,1724518090.6
USER_5821,SESS_000050,1724518140,1724518150.8
USER_8647,SESS_000051,1724518200,1724518211.0
USER_0528,SESS_000052,1724518260,1724518271.2
USER_0080,SESS_000053,1724518320,1724518331.4
USER_8946,SESS_000054,1724518380,1724518391.6
USER_8245,SESS_000055,1724518440,1724518451.8
USER_5065,SESS_000056,1724518500,1724518512.0
USER_8305,SESS_000057,1724518560,1724518572.2
USER_7781,SESS_000058,1724518620,1724518632.4
USER_5125,SESS_000059,1724518680,1724518692.6
USER_8319,SESS_000060,1724518740,1724518752.8
USER_4716,SESS_000061,1724518800,1724518813.0
USER_2168,SESS_000062,1724518860,1724518873.2
USER_9629,SESS_000063,1724518920,1724518933.4
USER_0350,SESS_000064,1724518980,1724518993.6
USER_2876,SESS_000065,1724519040,1724519053.8
USER_6986,SESS_000066,1724519100,1724519114.0
USER_9350,SESS_000067,1724519160,1724519174.2
USER_8816,SESS_000068,1724519220,1724519234.4
USER_8978,SESS_000069,1724519280,1724519294.6
USER_4315,SESS_000070,1724519340,1724519354.8
USER_1848,SESS_000071,1724519400,1724519415.0
USER_2809,SESS_000072,1724519460,1724519475.2
USER_5205,SESS_000073,1724519520,1724519535.4
USER_7982,SESS_000074,1724519580,1724519595.6
USER_6179,SESS_000075,1724519640,1724519655.8
USER_0146,SESS_000076,1724519700,1724519716.0
USER_5135,SESS_000077,1724519760,1724519776.2
USER_7068,SESS_000078,1724519820,1724519836.4
USER_0989,SESS_000079,1724519880,1724519896.6
USER_8421,SESS_000080,1724519940,1724519956.8
USER_4728,SESS_000081,1724520000,1724520017.0
USER_9393,SESS_000082,1724520060,1724520077.2
USER_1838,SESS_000083,1724520120,1724520137.4
USER_7568,SESS_000084,1724520180,1724520197.6
USER_2979,SESS_000085,1724520240,1724520257.8
USER_8111,SESS_000086,1724520300,1724520318.0
USER_6146,SESS_000087,1724520360,1724520378.2
USER_5723,SESS_000088,1724520420,1724520438.4
USER_1803,SESS_000089,1724520480,1724520498.6
USER_0982,SESS_000090,1724520540,1724520558.8
USER_1833,SESS_000091,1724520600,1724520619.0
USER_3336,SESS_000092,1724520660,1724520679.2
USER_6853,SESS_000093,1724520720,1724520739.4
USER_2341,SESS_000094,1724520780,1724520799.6
USER_6725,SESS_000095,1724520840,1724520859.8
USER_2771,SESS_000096,1724520900,1724520920.0
USER_3764,SESS_000097,1724520960,1724520980.2
USER_2831,SESS_000098,1724521020,1724521040.4
USER_7630,SESS_000099,1724521080,1724521100.6
USER_5100,SESS_000100,1724521140,1724521160.8
USER_4717,SESS_000101,1724521200,1724521221.0
USER_2575,SESS_000102,1724521260,1724521281.2
USER_3156,SESS_000103,1724521320,1724521341.4
USER_7846,SESS_000104,1724521380,1724521401.6
USER_4886,SESS_000105,1724521440,1724521461.8
USER_8211,SESS_000106,1724521500,1724521522.0
USER_4163,SESS_000107,1724521560,1724521582.2
USER_5793,SESS_000108,1724521620,1724521642.4
USER_4494,SESS_000109,1724521680,1724521702.6
USER_0373,SESS_000110,1724521740,1724521762.8
USER_9383,SESS_000111,1724521800,1724521823.0
USER_1802,SESS_000112,1724521860,1724521883.2
USER_1374,SESS_000113,1724521920,1724521943.4
USER_8217,SESS_000114,1724521980,1724522003.6
USER_9978,SESS_000115,1724522040,1724522063.8
USER_0894,SESS_000116,1724522100,1724522124.0
USER_6075,SESS_000117,1724522160,1724522184.2
USER_3918,SESS_000118,1724522220,1724522244.4
USER_1771,SESS_000119,1724522280,1724522304.6
USER_9049,SESS_000120,1724522340,1724522364.8
USER_7656,SESS_000121,1724522400,1724522425.0
